平均風速 (公里/小時) - 塔門東
Mean Wind Speed (km/h) - Tap Mun East
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2017,10,4,28.4,C
2017,10,5,23.6,C
2017,10,6,21.3,C
2017,10,7,22.6,C
2017,10,8,20.3,C
2017,10,9,24.0,C
2017,10,10,23.8,C
2017,10,11,22.9,C
2017,10,12,12.1,C
2017,10,13,20.3,C
2017,10,14,26.0,C
2017,10,15,35.6,C
2017,10,16,27.5,C
2017,10,17,12.2,C
2017,10,18,13.8,C
2017,10,19,16.3,C
2017,10,20,17.0,C
2017,10,21,17.3,C
2017,10,22,12.4,C
2017,10,23,11.6,C
2017,10,24,13.7,C
2017,10,25,18.0,C
2017,10,26,9.5,C
2017,10,27,7.9,C
2017,10,28,9.3,C
2017,10,29,16.3,C
2017,10,30,11.6,C
2017,10,31,10.1,C
2017,11,1,13.5,C
2017,11,2,9.5,C
2017,11,3,15.1,C
2017,11,4,12.6,C
2017,11,5,10.8,C
2017,11,6,9.2,C
2017,11,7,11.2,C
2017,11,8,16.3,C
2017,11,9,21.0,C
2017,11,10,14.3,C
2017,11,11,15.1,C
2017,11,12,22.8,C
2017,11,13,8.8,C
2017,11,14,19.2,C
2017,11,15,24.2,C
2017,11,16,20.6,C
2017,11,17,9.9,C
2017,11,18,8.7,C
2017,11,19,11.0,C
2017,11,20,14.4,C
2017,11,21,12.0,C
2017,11,22,19.3,#
2017,11,23,17.5,C
2017,11,24,16.0,C
2017,11,25,11.3,C
2017,11,26,11.2,C
2017,11,27,8.8,C
2017,11,28,7.8,C
2017,11,29,7.5,C
2017,11,30,15.6,C
2017,12,1,14.5,C
2017,12,2,12.0,C
2017,12,3,8.1,C
2017,12,4,12.8,C
2017,12,5,11.3,C
2017,12,6,14.8,C
2017,12,7,8.5,C
2017,12,8,18.6,C
2017,12,9,9.3,C
2017,12,10,6.5,C
2017,12,11,13.1,C
2017,12,12,14.8,C
2017,12,13,20.1,C
2017,12,14,17.5,C
2017,12,15,14.6,C
2017,12,16,23.7,C
2017,12,17,22.5,C
2017,12,18,17.5,C
2017,12,19,20.0,C
2017,12,20,18.5,C
2017,12,21,17.5,C
2017,12,22,8.2,C
2017,12,23,1.8,C
2017,12,24,12.1,C
2017,12,25,16.5,C
2017,12,26,17.0,C
2017,12,27,18.9,C
2017,12,28,7.8,C
2017,12,29,13.7,C
2017,12,30,10.1,C
2017,12,31,15.0,C
2018,1,1,14.3,C
2018,1,2,12.6,C
2018,1,3,14.8,C
2018,1,4,13.0,C
2018,1,5,7.2,C
2018,1,6,22.5,C
2018,1,7,14.8,C
2018,1,8,14.7,C
2018,1,9,18.2,C
2018,1,10,16.4,C
2018,1,11,13.1,C
2018,1,12,14.8,C
2018,1,13,21.2,C
2018,1,14,10.3,C
2018,1,15,10.6,C
2018,1,16,4.0,C
2018,1,17,8.2,C
2018,1,18,9.8,C
2018,1,19,3.8,C
2018,1,20,12.9,C
2018,1,21,10.3,C
2018,1,22,7.5,C
2018,1,23,13.1,C
2018,1,24,32.3,C
2018,1,25,22.5,C
2018,1,26,12.8,C
2018,1,27,12.6,C
2018,1,28,11.7,C
2018,1,29,19.3,C
2018,1,30,15.7,C
2018,1,31,22.0,C
2018,2,1,13.0,C
2018,2,2,17.0,C
2018,2,3,16.7,C
2018,2,4,14.8,C
2018,2,5,15.0,C
2018,2,6,12.8,C
2018,2,7,7.4,C
2018,2,8,13.4,C
2018,2,9,7.5,C
2018,2,10,4.8,C
2018,2,11,11.8,C
2018,2,12,8.9,C
2018,2,13,8.1,C
2018,2,14,4.8,#
2018,2,15,3.5,C
2018,2,16,4.3,C
2018,2,17,23.4,C
2018,2,18,9.0,#
2018,2,19,2.9,C
2018,2,20,6.6,C
2018,2,21,11.7,C
2018,2,22,13.0,C
2018,2,23,12.2,C
2018,2,24,6.7,C
2018,2,25,8.3,C
2018,2,26,11.8,C
2018,2,27,13.1,C
2018,2,28,3.7,C
2018,3,1,6.3,C
2018,3,2,8.1,C
2018,3,3,5.9,C
2018,3,4,7.5,C
2018,3,5,4.5,C
2018,3,6,29.0,C
2018,3,7,18.4,C
2018,3,8,19.8,C
2018,3,9,13.6,C
2018,3,10,14.9,C
2018,3,11,15.3,C
2018,3,12,8.2,C
2018,3,13,8.4,C
2018,3,14,8.2,C
2018,3,15,3.8,C
2018,3,16,6.1,C
2018,3,17,29.2,C
2018,3,18,13.0,C
2018,3,19,6.0,C
2018,3,20,15.3,C
2018,3,21,16.5,C
2018,3,22,9.4,C
2018,3,23,8.8,C
2018,3,24,8.5,C
2018,3,25,9.2,C
2018,3,26,6.9,C
2018,3,27,7.5,C
2018,3,28,10.0,C
2018,3,29,8.2,C
2018,3,30,11.2,C
2018,3,31,21.3,C
2018,4,1,7.6,C
2018,4,2,8.6,C
2018,4,3,8.6,C
2018,4,4,11.0,C
2018,4,5,9.4,C
2018,4,6,17.4,C
2018,4,7,14.7,C
2018,4,8,10.0,C
2018,4,9,9.0,C
2018,4,10,10.4,C
2018,4,11,7.0,C
2018,4,12,11.4,C
2018,4,13,13.5,C
2018,4,14,11.3,C
2018,4,15,13.0,C
2018,4,16,12.4,C
2018,4,17,9.0,C
2018,4,18,15.5,C
2018,4,19,15.4,C
2018,4,20,18.1,C
2018,4,21,15.6,#
2018,4,22,14.4,C
2018,4,23,9.8,C
2018,4,24,6.1,C
2018,4,25,11.8,C
2018,4,26,16.9,C
2018,4,27,6.0,C
2018,4,28,16.8,C
2018,4,29,14.8,#
2018,4,30,10.0,#
2018,5,1,10.5,C
2018,5,2,6.2,C
2018,5,3,19.9,C
2018,5,4,22.8,C
2018,5,5,15.0,#
2018,5,6,12.3,C
2018,5,7,12.6,C
2018,5,8,4.5,C
2018,5,9,30.2,C
2018,5,10,32.7,C
2018,5,11,23.3,C
2018,5,12,10.1,C
2018,5,13,6.9,C
2018,5,14,8.0,C
2018,5,15,12.3,C
2018,5,16,13.5,C
2018,5,17,8.7,C
2018,5,18,9.5,#
2018,5,19,5.7,#
2018,5,20,8.4,C
2018,5,21,9.2,C
2018,5,22,8.9,C
2018,5,23,7.5,#
2018,5,24,13.8,C
2018,5,25,12.0,C
2018,5,26,8.3,C
2018,5,27,8.4,C
2018,5,28,7.8,C
2018,5,29,9.0,C
2018,5,30,9.3,C
2018,5,31,9.2,C
2018,6,1,18.1,C
2018,6,2,24.6,C
2018,6,3,21.2,C
2018,6,4,24.6,C
2018,6,5,19.6,C
2018,6,6,25.0,C
2018,6,7,35.8,C
2018,6,8,32.5,C
2018,6,9,8.3,C
2018,6,10,10.3,C
2018,6,11,8.4,C
2018,6,12,17.2,C
2018,6,13,7.1,C
2018,6,14,8.3,C
2018,6,15,8.9,C
2018,6,16,23.8,C
2018,6,17,19.0,#
2018,6,18,11.0,#
2018,6,19,6.5,#
2018,6,20,7.8,C
2018,6,21,7.2,C
2018,6,22,5.2,C
2018,6,23,6.3,C
2018,6,24,23.9,C
2018,6,25,20.1,C
2018,6,26,11.7,C
2018,6,27,6.8,C
2018,6,28,9.2,C
2018,6,29,8.4,C
2018,6,30,7.7,C
2018,7,1,7.2,C
2018,7,2,8.0,C
2018,7,3,7.9,C
2018,7,4,11.9,C
2018,7,5,4.9,#
2018,7,6,7.9,C
2018,7,7,4.6,C
2018,7,8,8.5,C
2018,7,9,21.5,C
2018,7,10,15.3,C
2018,7,11,7.6,C
2018,7,12,17.7,C
2018,7,13,24.3,C
2018,7,14,36.6,C
2018,7,15,40.8,C
2018,7,16,27.0,C
2018,7,17,16.4,C
2018,7,18,35.3,C
2018,7,19,30.6,C
2018,7,20,21.3,C
2018,7,21,7.0,C
2018,7,22,7.3,C
2018,7,23,22.8,C
2018,7,24,23.8,C
2018,7,25,15.2,C
2018,7,26,12.0,C
2018,7,27,10.1,C
2018,7,28,8.8,C
2018,7,29,9.3,C
2018,7,30,8.3,C
2018,7,31,7.3,C
2018,8,1,6.2,C
2018,8,2,5.9,C
2018,8,3,4.9,C
2018,8,4,6.0,C
2018,8,5,7.5,C
2018,8,6,7.1,C
2018,8,7,7.5,C
2018,8,8,17.2,C
2018,8,9,27.5,C
2018,8,10,22.0,C
2018,8,11,27.9,C
2018,8,12,22.7,C
2018,8,13,19.8,C
2018,8,14,25.9,C
2018,8,15,19.3,C
2018,8,16,17.7,C
2018,8,17,4.9,C
2018,8,18,4.7,C
2018,8,19,6.3,C
2018,8,20,5.0,C
2018,8,21,7.0,C
2018,8,22,7.5,C
2018,8,23,10.1,C
2018,8,24,5.5,C
2018,8,25,8.5,C
2018,8,26,7.6,C
2018,8,27,8.9,C
2018,8,28,6.3,C
2018,8,29,8.5,C
2018,8,30,19.3,C
2018,8,31,14.5,C
2018,9,1,7.6,C
2018,9,2,4.4,C
2018,9,3,3.7,C
2018,9,4,6.0,C
2018,9,5,6.0,C
2018,9,6,8.7,C
2018,9,7,8.3,C
2018,9,8,11.7,C
2018,9,9,13.0,C
2018,9,10,3.5,C
2018,9,11,9.0,C
2018,9,12,25.4,C
2018,9,13,21.5,C
2018,9,14,6.0,C
2018,9,15,12.3,C
2018,9,16,29.0,#
2018,9,17,***,
2018,9,18,***,
2018,9,19,***,
2018,9,20,***,
2018,9,21,***,
2018,9,22,***,
2018,9,23,***,
2018,9,24,***,
2018,9,25,***,
2018,9,26,***,
2018,9,27,***,
2018,9,28,***,
2018,9,29,***,
2018,9,30,***,
2018,10,1,***,
2018,10,2,***,
2018,10,3,***,
2018,10,4,***,
2018,10,5,***,
2018,10,6,***,
2018,10,7,***,
2018,10,8,***,
2018,10,9,***,
2018,10,10,***,
2018,10,11,***,
2018,10,12,***,
2018,10,13,***,
2018,10,14,***,
2018,10,15,***,
2018,10,16,***,
2018,10,17,***,
2018,10,18,***,
2018,10,19,***,
2018,10,20,***,
2018,10,21,***,
2018,10,22,***,
2018,10,23,***,
2018,10,24,***,
2018,10,25,***,
2018,10,26,***,
2018,10,27,***,
2018,10,28,***,
2018,10,29,***,
2018,10,30,***,
2018,10,31,***,
2018,11,1,***,
2018,11,2,***,
2018,11,3,***,
2018,11,4,***,
2018,11,5,***,
2018,11,6,***,
2018,11,7,***,
2018,11,8,***,
2018,11,9,***,
2018,11,10,***,
2018,11,11,***,
2018,11,12,***,
2018,11,13,33.6,#
2018,11,14,26.7,C
2018,11,15,30.0,#
2018,11,16,18.5,C
2018,11,17,19.8,C
2018,11,18,17.6,C
2018,11,19,11.8,C
2018,11,20,22.3,C
2018,11,21,12.7,#
2018,11,22,19.6,#
2018,11,23,13.3,C
2018,11,24,15.4,C
2018,11,25,8.2,C
2018,11,26,6.3,C
2018,11,27,7.1,C
2018,11,28,8.5,C
2018,11,29,12.6,C
2018,11,30,18.7,C
2018,12,1,15.0,C
2018,12,2,13.3,C
2018,12,3,5.7,C
2018,12,4,5.2,C
2018,12,5,21.0,C
2018,12,6,11.2,C
2018,12,7,11.3,C
2018,12,8,19.9,C
2018,12,9,12.1,C
2018,12,10,11.8,C
2018,12,11,17.0,C
2018,12,12,18.8,C
2018,12,13,16.9,C
2018,12,14,12.5,C
2018,12,15,9.0,#
2018,12,16,13.4,C
2018,12,17,13.9,#
2018,12,18,14.2,C
2018,12,19,12.0,C
2018,12,20,8.5,C
2018,12,21,13.3,C
2018,12,22,10.0,C
2018,12,23,12.8,C
2018,12,24,14.9,C
2018,12,25,5.2,C
2018,12,26,7.0,C
2018,12,27,13.0,C
2018,12,28,17.5,C
2018,12,29,23.7,C
2018,12,30,22.6,C
2018,12,31,17.9,C
2019,1,1,16.5,C
2019,1,2,16.6,C
2019,1,3,9.0,C
2019,1,4,6.7,C
2019,1,5,4.6,C
2019,1,6,9.6,C
2019,1,7,8.9,C
2019,1,8,6.3,C
2019,1,9,17.6,C
2019,1,10,9.0,C
2019,1,11,7.1,C
2019,1,12,6.2,C
2019,1,13,19.0,C
2019,1,14,16.1,C
2019,1,15,9.5,C
2019,1,16,16.2,C
2019,1,17,12.3,C
2019,1,18,9.0,C
2019,1,19,9.9,C
2019,1,20,6.7,C
2019,1,21,15.3,C
2019,1,22,13.4,C
2019,1,23,9.5,C
2019,1,24,12.3,C
2019,1,25,7.3,C
2019,1,26,13.4,C
2019,1,27,18.7,C
2019,1,28,13.8,C
2019,1,29,13.0,C
2019,1,30,12.4,C
2019,1,31,7.2,C
2019,2,1,16.6,C
2019,2,2,12.8,C
2019,2,3,5.6,C
2019,2,4,12.5,C
2019,2,5,11.8,C
2019,2,6,11.5,C
2019,2,7,11.5,C
2019,2,8,19.6,C
2019,2,9,22.4,C
2019,2,10,25.6,C
2019,2,11,8.0,C
2019,2,12,7.9,#
2019,2,13,6.9,C
2019,2,14,18.5,C
2019,2,15,13.2,C
2019,2,16,14.8,C
2019,2,17,30.3,C
2019,2,18,22.8,C
2019,2,19,10.3,#
2019,2,20,12.5,C
2019,2,21,13.7,C
2019,2,22,10.8,C
2019,2,23,17.8,C
2019,2,24,10.9,#
2019,2,25,6.3,C
2019,2,26,13.0,#
2019,2,27,8.5,#
2019,2,28,10.0,#
2019,3,1,21.7,C
2019,3,2,13.6,C
2019,3,3,6.8,C
2019,3,4,15.5,C
2019,3,5,20.9,C
2019,3,6,7.3,C
2019,3,7,***,
2019,3,8,31.3,#
2019,3,9,5.0,#
2019,3,10,12.1,#
2019,3,11,10.6,#
2019,3,12,8.3,C
2019,3,13,15.0,C
2019,3,14,11.7,C
2019,3,15,8.5,#
2019,3,16,21.7,#
2019,3,17,17.1,C
2019,3,18,9.2,C
2019,3,19,9.9,C
2019,3,20,13.0,C
2019,3,21,10.1,C
2019,3,22,8.5,C
2019,3,23,19.6,C
2019,3,24,22.3,#
2019,3,25,5.0,#
2019,3,26,15.1,C
2019,3,27,8.5,C
2019,3,28,8.0,C
2019,3,29,5.3,C
2019,3,30,12.9,C
2019,3,31,31.3,C
2019,4,1,26.3,#
2019,4,2,16.0,C
2019,4,3,14.5,C
2019,4,4,20.7,C
2019,4,5,5.7,C
2019,4,6,7.6,C
2019,4,7,4.7,C
2019,4,8,8.3,C
2019,4,9,12.1,C
2019,4,10,6.0,C
2019,4,11,10.1,C
2019,4,12,22.0,C
2019,4,13,31.0,#
2019,4,14,9.8,#
2019,4,15,34.5,#
2019,4,16,5.5,#
2019,4,17,6.8,#
2019,4,18,19.4,#
2019,4,19,8.1,#
2019,4,20,10.7,#
2019,4,21,13.4,#
2019,4,22,9.6,C
2019,4,23,6.0,C
2019,4,24,6.6,C
2019,4,25,7.5,C
2019,4,26,12.8,C
2019,4,27,27.0,C
2019,4,28,22.6,C
2019,4,29,12.6,C
2019,4,30,7.7,C
2019,5,1,12.5,C
2019,5,2,10.0,C
2019,5,3,19.5,#
2019,5,4,22.1,C
2019,5,5,15.9,#
2019,5,6,14.1,#
2019,5,7,23.4,#
2019,5,8,13.6,#
2019,5,9,9.3,#
2019,5,10,11.8,C
2019,5,11,13.1,C
2019,5,12,17.8,C
2019,5,13,9.3,C
2019,5,14,9.8,C
2019,5,15,10.0,C
2019,5,16,7.8,C
2019,5,17,10.7,C
2019,5,18,11.1,C
2019,5,19,10.0,C
2019,5,20,4.9,C
2019,5,21,26.4,C
2019,5,22,16.6,C
2019,5,23,17.9,#
2019,5,24,27.1,#
2019,5,25,25.0,#
2019,5,26,12.1,C
2019,5,27,7.2,C
2019,5,28,5.4,C
2019,5,29,27.6,#
2019,5,30,20.6,#
2019,5,31,11.9,C
2019,6,1,8.8,C
2019,6,2,7.1,C
2019,6,3,7.9,C
2019,6,4,6.9,C
2019,6,5,8.8,C
2019,6,6,11.6,C
2019,6,7,7.5,C
2019,6,8,10.2,C
2019,6,9,12.0,#
2019,6,10,12.4,C
2019,6,11,5.1,C
2019,6,12,15.5,C
2019,6,13,9.5,#
2019,6,14,9.3,#
2019,6,15,19.8,C
2019,6,16,28.1,C
2019,6,17,26.0,C
2019,6,18,10.9,C
2019,6,19,7.9,C
2019,6,20,7.0,C
2019,6,21,11.9,C
2019,6,22,11.1,C
2019,6,23,9.9,C
2019,6,24,7.1,C
2019,6,25,6.1,#
2019,6,26,7.1,#
2019,6,27,5.9,#
2019,6,28,5.8,C
2019,6,29,6.5,#
2019,6,30,11.9,#
2019,7,1,18.1,C
2019,7,2,21.3,C
2019,7,3,14.2,C
2019,7,4,13.9,#
2019,7,5,9.1,#
2019,7,6,11.6,C
2019,7,7,13.1,#
2019,7,8,14.1,C
2019,7,9,12.5,#
2019,7,10,5.9,C
2019,7,11,7.4,#
2019,7,12,12.0,C
2019,7,13,12.5,C
2019,7,14,12.1,C
2019,7,15,11.3,C
2019,7,16,6.7,C
2019,7,17,6.7,C
2019,7,18,10.9,#
2019,7,19,7.2,C
2019,7,20,5.0,C
2019,7,21,4.5,#
2019,7,22,6.7,#
2019,7,23,11.6,#
2019,7,24,9.7,#
2019,7,25,7.0,C
2019,7,26,7.5,C
2019,7,27,6.9,C
2019,7,28,7.5,C
2019,7,29,14.0,C
2019,7,30,35.8,C
2019,7,31,43.0,C
2019,8,1,50.5,#
2019,8,2,25.6,#
2019,8,3,15.8,C
2019,8,4,7.4,C
2019,8,5,6.5,C
2019,8,6,6.0,C
2019,8,7,7.2,C
2019,8,8,5.7,C
2019,8,9,12.2,C
2019,8,10,10.4,C
2019,8,11,13.4,C
2019,8,12,7.3,C
2019,8,13,7.5,C
2019,8,14,6.5,C
2019,8,15,7.2,C
2019,8,16,7.7,C
2019,8,17,5.3,C
2019,8,18,5.5,C
2019,8,19,6.4,#
2019,8,20,11.5,C
2019,8,21,7.6,C
2019,8,22,8.3,C
2019,8,23,7.5,C
2019,8,24,10.9,C
2019,8,25,11.4,C
2019,8,26,8.5,#
2019,8,27,13.5,C
2019,8,28,14.0,C
2019,8,29,26.9,C
2019,8,30,8.4,C
2019,8,31,14.7,C
2019,9,1,23.0,C
2019,9,2,32.8,C
2019,9,3,23.1,#
2019,9,4,22.0,C
2019,9,5,19.1,C
2019,9,6,9.9,C
2019,9,7,5.6,C
2019,9,8,6.9,C
2019,9,9,9.4,C
2019,9,10,14.2,C
2019,9,11,10.8,C
2019,9,12,8.4,C
2019,9,13,10.5,C
2019,9,14,8.4,C
2019,9,15,9.3,C
2019,9,16,11.3,C
2019,9,17,18.3,C
2019,9,18,10.5,C
2019,9,19,9.5,C
2019,9,20,11.0,C
2019,9,21,15.2,C
2019,9,22,17.7,C
2019,9,23,13.3,C
2019,9,24,13.0,C
2019,9,25,11.9,C
2019,9,26,13.3,C
2019,9,27,9.0,C
2019,9,28,8.1,C
2019,9,29,7.1,C
2019,9,30,7.2,C
2019,10,1,7.9,C
2019,10,2,7.8,C
2019,10,3,8.0,C
2019,10,4,8.6,C
2019,10,5,8.4,C
2019,10,6,19.3,C
2019,10,7,22.3,C
2019,10,8,19.6,C
2019,10,9,24.6,C
2019,10,10,15.5,C
2019,10,11,6.0,C
2019,10,12,7.5,C
2019,10,13,8.9,C
2019,10,14,11.7,C
2019,10,15,21.4,C
2019,10,16,20.5,C
2019,10,17,11.7,C
2019,10,18,9.8,C
2019,10,19,11.4,C
2019,10,20,16.7,C
2019,10,21,15.2,C
2019,10,22,19.7,C
2019,10,23,18.7,C
2019,10,24,15.5,C
2019,10,25,20.0,C
2019,10,26,21.3,C
2019,10,27,10.5,C
2019,10,28,16.5,C
2019,10,29,12.8,C
2019,10,30,12.9,C
2019,10,31,13.6,C
2019,11,1,17.9,C
2019,11,2,17.6,C
2019,11,3,9.5,C
2019,11,4,14.9,C
2019,11,5,11.4,C
2019,11,6,15.5,C
2019,11,7,12.9,C
2019,11,8,15.5,C
2019,11,9,16.5,C
2019,11,10,11.1,C
2019,11,11,15.2,C
2019,11,12,19.8,C
2019,11,13,12.5,C
2019,11,14,17.0,C
2019,11,15,19.9,C
2019,11,16,19.5,C
2019,11,17,9.8,C
2019,11,18,14.1,C
2019,11,19,15.0,C
2019,11,20,14.2,C
2019,11,21,8.8,C
2019,11,22,8.0,C
2019,11,23,6.5,C
2019,11,24,8.8,C
2019,11,25,21.4,C
2019,11,26,19.1,C
2019,11,27,15.2,C
2019,11,28,16.8,C
2019,11,29,16.5,C
2019,11,30,12.7,C
2019,12,1,10.3,C
2019,12,2,22.7,C
2019,12,3,16.9,C
2019,12,4,17.5,C
2019,12,5,17.9,C
2019,12,6,22.4,#
2019,12,7,19.9,C
2019,12,8,12.3,C
2019,12,9,7.6,C
2019,12,10,7.7,C
2019,12,11,9.1,C
2019,12,12,20.1,C
2019,12,13,18.3,C
2019,12,14,10.7,C
2019,12,15,15.4,C
2019,12,16,5.4,#
2019,12,17,5.6,C
2019,12,18,13.9,C
2019,12,19,18.1,C
2019,12,20,13.6,#
2019,12,21,7.8,C
2019,12,22,5.3,C
2019,12,23,17.4,#
2019,12,24,14.4,C
2019,12,25,16.1,C
2019,12,26,14.3,C
2019,12,27,15.9,C
2019,12,28,12.3,C
2019,12,29,5.3,C
2019,12,30,13.5,#
2019,12,31,20.6,#
2020,1,1,18.8,#
2020,1,2,10.4,#
2020,1,3,11.3,C
2020,1,4,11.6,C
2020,1,5,21.7,C
2020,1,6,14.6,C
2020,1,7,4.5,C
2020,1,8,13.6,C
2020,1,9,26.5,C
2020,1,10,11.5,C
2020,1,11,7.5,C
2020,1,12,13.0,C
2020,1,13,11.2,C
2020,1,14,16.7,C
2020,1,15,23.1,C
2020,1,16,12.5,C
2020,1,17,14.5,C
2020,1,18,8.1,C
2020,1,19,12.1,C
2020,1,20,7.9,C
2020,1,21,16.8,C
2020,1,22,5.5,C
2020,1,23,5.8,C
2020,1,24,11.3,C
2020,1,25,13.8,#
2020,1,26,15.7,#
2020,1,27,19.5,#
2020,1,28,16.0,#
2020,1,29,16.9,C
2020,1,30,15.2,C
2020,1,31,12.6,C
2020,2,1,22.8,C
2020,2,2,17.3,C
2020,2,3,14.7,C
2020,2,4,8.3,C
2020,2,5,21.5,C
2020,2,6,24.7,#
2020,2,7,9.1,#
2020,2,8,10.4,#
2020,2,9,9.0,#
2020,2,10,6.5,C
2020,2,11,6.0,#
2020,2,12,7.1,#
2020,2,13,3.6,C
2020,2,14,16.8,#
2020,2,15,14.3,#
2020,2,16,21.3,#
2020,2,17,16.3,#
2020,2,18,13.0,C
2020,2,19,12.3,C
2020,2,20,14.4,C
2020,2,21,13.8,C
2020,2,22,15.9,C
2020,2,23,23.0,C
2020,2,24,16.3,C
2020,2,25,5.5,C
2020,2,26,5.3,C
2020,2,27,23.5,C
2020,2,28,11.6,C
2020,2,29,7.0,C
2020,3,1,5.6,C
2020,3,2,24.5,C
2020,3,3,18.7,#
2020,3,4,8.6,C
2020,3,5,16.6,C
2020,3,6,21.9,C
2020,3,7,7.7,C
2020,3,8,11.5,C
2020,3,9,13.6,#
2020,3,10,14.9,C
2020,3,11,20.3,C
2020,3,12,19.9,C
2020,3,13,4.9,#
2020,3,14,15.7,C
2020,3,15,16.9,C
2020,3,16,21.1,C
2020,3,17,9.2,#
2020,3,18,5.5,C
2020,3,19,4.0,C
2020,3,20,4.3,C
2020,3,21,11.6,C
2020,3,22,5.8,C
2020,3,23,12.3,C
2020,3,24,22.1,C
2020,3,25,14.8,C
2020,3,26,7.6,C
2020,3,27,8.0,C
2020,3,28,5.5,C
2020,3,29,32.6,C
2020,3,30,9.3,C
2020,3,31,9.6,#
2020,4,1,6.2,#
2020,4,2,29.6,#
2020,4,3,20.3,C
2020,4,4,13.0,C
2020,4,5,13.9,C
2020,4,6,9.7,#
2020,4,7,11.1,#
2020,4,8,14.6,C
2020,4,9,11.9,C
2020,4,10,21.0,C
2020,4,11,7.8,C
2020,4,12,20.3,C
2020,4,13,12.8,C
2020,4,14,5.6,C
2020,4,15,8.0,C
2020,4,16,12.0,C
2020,4,17,8.5,C
2020,4,18,8.2,C
2020,4,19,6.3,C
2020,4,20,6.6,C
2020,4,21,13.8,C
2020,4,22,26.3,C
2020,4,23,12.4,C
2020,4,24,10.0,C
2020,4,25,4.3,C
2020,4,26,5.5,C
2020,4,27,7.4,C
2020,4,28,19.0,C
2020,4,29,17.3,C
2020,4,30,8.7,C
2020,5,1,7.4,C
2020,5,2,7.8,C
2020,5,3,7.6,#
2020,5,4,8.5,#
2020,5,5,8.4,#
2020,5,6,9.0,C
2020,5,7,14.3,C
2020,5,8,13.4,C
2020,5,9,7.3,C
2020,5,10,7.5,C
2020,5,11,13.5,#
2020,5,12,4.7,C
2020,5,13,22.9,C
2020,5,14,20.5,C
2020,5,15,16.7,#
2020,5,16,8.7,C
2020,5,17,8.6,C
2020,5,18,7.5,C
2020,5,19,12.0,C
2020,5,20,24.8,C
2020,5,21,12.8,C
2020,5,22,14.3,C
2020,5,23,21.5,C
2020,5,24,15.3,C
2020,5,25,13.3,C
2020,5,26,5.7,C
2020,5,27,7.3,C
2020,5,28,15.6,#
2020,5,29,18.4,C
2020,5,30,8.8,C
2020,5,31,7.8,C
2020,6,1,7.5,C
2020,6,2,8.3,C
2020,6,3,9.3,C
2020,6,4,10.2,C
2020,6,5,10.1,C
2020,6,6,8.7,C
2020,6,7,7.6,C
2020,6,8,6.0,#
2020,6,9,8.6,#
2020,6,10,6.5,C
2020,6,11,9.5,C
2020,6,12,12.2,C
2020,6,13,22.7,C
2020,6,14,23.7,C
2020,6,15,11.9,C
2020,6,16,10.1,C
2020,6,17,8.6,C
