Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide



DATE,POLLUTANT,SHATIN,TSUEN WAN,CENTRAL,EASTERN,KWUN TONG,TUEN MUN,TUNG CHUNG,SHAM SHUI PO,SOUTHERN,YUEN LONG,CENTRAL/WESTERN,NORTH,KWAI CHUNG,TAP MUN,TSEUNG KWAN O,TAI PO,MONG KOK,CAUSEWAY BAY
12-01-2010,Fine Suspended Particulates ,N.A.,38,40,N.A.,N.A.,N.A.,42,N.A.,N.A.,51,N.A.,N.A.,N.A.,41,N.A.,N.A.,N.A.,N.A.
12-01-2010,Nitrogen Dioxide,45,51,149,53,N.A.,N.A.,52,39,N.A.,56,67,N.A.,64,18,N.A.,55,79,95
12-01-2010,Nitrogen Oxides,60,81,446,N.A.,N.A.,N.A.,72,68,N.A.,77,112,N.A.,121,23,N.A.,N.A.,160,240
12-01-2010,Ozone,36,31,N.A.,30,27,N.A.,31,29,N.A.,28,25,N.A.,29,57,N.A.,44,N.A.,N.A.
12-01-2010,Respirable Suspended Particulates,51,51,60,44,47,N.A.,61,47,N.A.,66,51,N.A.,52,52,N.A.,56,55,69
12-01-2010,Sulphur Dioxide,19,19,28,16,18,N.A.,24,18,N.A.,20,22,N.A.,17,22,N.A.,18,15,14
13-01-2010,Carbon Monoxide,N.A.,111,107,N.A.,N.A.,N.A.,111,N.A.,N.A.,114,N.A.,N.A.,N.A.,110,N.A.,N.A.,133,146
13-01-2010,Fine Suspended Particulates ,N.A.,49,49,N.A.,N.A.,N.A.,60,N.A.,N.A.,70,N.A.,N.A.,N.A.,52,N.A.,N.A.,N.A.,N.A.
13-01-2010,Nitrogen Dioxide,62,73,155,71,N.A.,N.A.,73,82,N.A.,71,82,N.A.,75,17,N.A.,75,119,152
13-01-2010,Nitrogen Oxides,130,129,434,N.A.,N.A.,N.A.,107,136,N.A.,126,135,N.A.,144,20,N.A.,N.A.,275,401
13-01-2010,Ozone,37,27,N.A.,34,30,N.A.,31,32,N.A.,34,27,N.A.,35,72,N.A.,38,N.A.,N.A.
13-01-2010,Respirable Suspended Particulates,67,70,75,59,69,N.A.,86,67,N.A.,98,71,N.A.,70,71,N.A.,75,74,88
13-01-2010,Sulphur Dioxide,21,23,28,18,20,N.A.,22,23,N.A.,19,26,N.A.,24,23,N.A.,18,20,18
14-01-2010,Carbon Monoxide,N.A.,88,73,N.A.,N.A.,N.A.,84,N.A.,N.A.,92,N.A.,N.A.,N.A.,90,N.A.,N.A.,123,111
14-01-2010,Fine Suspended Particulates ,N.A.,43,44,N.A.,N.A.,N.A.,42,N.A.,N.A.,52,N.A.,N.A.,N.A.,40,N.A.,N.A.,N.A.,N.A.
14-01-2010,Nitrogen Dioxide,56,73,140,70,69,N.A.,60,87,N.A.,76,75,N.A.,77,15,N.A.,65,144,137
14-01-2010,Nitrogen Oxides,104,100,300,N.A.,97,N.A.,74,123,N.A.,150,108,N.A.,115,18,N.A.,N.A.,314,291
14-01-2010,Ozone,59,48,N.A.,50,58,N.A.,56,46,N.A.,35,53,N.A.,49,90,N.A.,56,N.A.,N.A.
14-01-2010,Respirable Suspended Particulates,68,71,78,69,72,N.A.,69,71,N.A.,82,76,N.A.,70,69,N.A.,67,82,92
14-01-2010,Sulphur Dioxide,15,15,18,15,18,N.A.,14,16,N.A.,8,18,N.A.,15,15,N.A.,13,15,15
15-01-2010,Carbon Monoxide,N.A.,74,56,N.A.,N.A.,N.A.,73,N.A.,N.A.,81,N.A.,N.A.,N.A.,78,N.A.,N.A.,113,92
15-01-2010,Fine Suspended Particulates ,N.A.,34,40,N.A.,N.A.,N.A.,35,N.A.,N.A.,44,N.A.,N.A.,N.A.,36,N.A.,N.A.,N.A.,N.A.
15-01-2010,Nitrogen Dioxide,56,75,144,69,70,N.A.,59,95,N.A.,94,81,N.A.,76,11,N.A.,64,152,139
15-01-2010,Nitrogen Oxides,97,112,301,N.A.,97,N.A.,82,140,N.A.,178,114,N.A.,118,13,N.A.,N.A.,328,281
15-01-2010,Ozone,66,52,N.A.,59,66,N.A.,67,46,N.A.,20,55,N.A.,61,101,N.A.,66,N.A.,N.A.
15-01-2010,Respirable Suspended Particulates,62,58,71,64,63,N.A.,59,63,N.A.,76,68,N.A.,60,65,N.A.,60,73,85
15-01-2010,Sulphur Dioxide,11,11,14,10,12,N.A.,9,12,N.A.,8,14,N.A.,10,11,N.A.,10,11,10
16-01-2010,Carbon Monoxide,N.A.,83,55,N.A.,N.A.,N.A.,94,N.A.,N.A.,81,N.A.,N.A.,N.A.,80,N.A.,N.A.,126,115
16-01-2010,Fine Suspended Particulates ,N.A.,45,42,N.A.,N.A.,N.A.,57,N.A.,N.A.,47,N.A.,N.A.,N.A.,38,N.A.,N.A.,N.A.,N.A.
16-01-2010,Nitrogen Dioxide,68,106,144,73,77,N.A.,102,111,N.A.,85,89,N.A.,100,16,N.A.,77,162,154
16-01-2010,Nitrogen Oxides,158,171,280,N.A.,109,N.A.,134,167,N.A.,150,124,N.A.,167,19,N.A.,N.A.,378,325
16-01-2010,Ozone,53,26,N.A.,50,57,N.A.,52,33,N.A.,42,50,N.A.,42,90,N.A.,56,N.A.,N.A.
16-01-2010,Respirable Suspended Particulates,67,74,74,64,66,N.A.,90,67,N.A.,79,71,N.A.,70,62,N.A.,65,76,86
16-01-2010,Sulphur Dioxide,11,26,18,14,16,N.A.,24,18,N.A.,10,18,N.A.,22,14,N.A.,13,16,15
17-01-2010,Carbon Monoxide,N.A.,80,39,N.A.,N.A.,N.A.,87,N.A.,N.A.,85,N.A.,N.A.,N.A.,88,N.A.,N.A.,121,130
17-01-2010,Fine Suspended Particulates ,N.A.,51,44,N.A.,N.A.,N.A.,49,N.A.,N.A.,57,N.A.,N.A.,N.A.,43,N.A.,N.A.,N.A.,N.A.
17-01-2010,Nitrogen Dioxide,50,79,109,54,57,N.A.,65,75,N.A.,66,51,N.A.,69,12,N.A.,53,140,140
17-01-2010,Nitrogen Oxides,85,107,194,N.A.,75,N.A.,79,101,N.A.,109,60,N.A.,96,15,N.A.,N.A.,312,305
17-01-2010,Ozone,53,40,N.A.,55,60,N.A.,59,50,N.A.,58,69,N.A.,53,90,N.A.,62,N.A.,N.A.
17-01-2010,Respirable Suspended Particulates,67,75,N.A.,63,63,N.A.,73,65,N.A.,84,62,N.A.,69,65,N.A.,67,74,79
17-01-2010,Sulphur Dioxide,9,18,14,10,12,N.A.,13,14,N.A.,9,15,N.A.,17,10,N.A.,11,12,10
18-01-2010,Carbon Monoxide,N.A.,68,59,N.A.,N.A.,N.A.,79,N.A.,N.A.,68,N.A.,N.A.,N.A.,80,N.A.,N.A.,111,100
18-01-2010,Fine Suspended Particulates ,N.A.,40,38,N.A.,N.A.,N.A.,37,N.A.,N.A.,42,N.A.,N.A.,N.A.,33,N.A.,N.A.,N.A.,N.A.
18-01-2010,Nitrogen Dioxide,31,75,128,59,57,N.A.,59,80,N.A.,74,71,N.A.,72,9,N.A.,41,136,139
18-01-2010,Nitrogen Oxides,38,127,282,N.A.,84,N.A.,87,122,N.A.,126,119,N.A.,119,12,N.A.,N.A.,307,295
18-01-2010,Ozone,78,44,N.A.,51,63,N.A.,54,47,N.A.,34,54,N.A.,53,100,N.A.,77,N.A.,N.A.
18-01-2010,Respirable Suspended Particulates,53,60,N.A.,52,50,N.A.,51,52,N.A.,62,55,N.A.,56,56,N.A.,57,56,66
18-01-2010,Sulphur Dioxide,8,19,12,10,10,N.A.,10,11,N.A.,6,12,N.A.,10,11,N.A.,10,10,9
19-01-2010,Carbon Monoxide,N.A.,59,54,N.A.,N.A.,N.A.,71,N.A.,N.A.,64,N.A.,N.A.,N.A.,79,N.A.,N.A.,106,90
19-01-2010,Fine Suspended Particulates ,N.A.,28,31,N.A.,N.A.,N.A.,26,N.A.,N.A.,31,N.A.,N.A.,N.A.,29,N.A.,N.A.,N.A.,N.A.
19-01-2010,Nitrogen Dioxide,43,58,116,65,57,N.A.,35,80,N.A.,62,68,N.A.,69,15,N.A.,50,127,126
19-01-2010,Nitrogen Oxides,52,88,253,N.A.,88,N.A.,45,130,N.A.,96,117,N.A.,121,18,N.A.,N.A.,300,280
19-01-2010,Ozone,59,49,N.A.,44,55,N.A.,66,36,N.A.,34,48,N.A.,45,85,N.A.,58,N.A.,N.A.
19-01-2010,Respirable Suspended Particulates,39,37,45,41,44,N.A.,34,44,N.A.,45,42,N.A.,42,44,N.A.,42,47,61
19-01-2010,Sulphur Dioxide,6,7,7,7,7,N.A.,4,7,N.A.,4,9,N.A.,6,15,N.A.,9,8,6
20-01-2010,Carbon Monoxide,N.A.,61,71,N.A.,N.A.,N.A.,65,N.A.,N.A.,83,N.A.,N.A.,N.A.,81,N.A.,N.A.,129,76
20-01-2010,Fine Suspended Particulates ,N.A.,25,31,N.A.,N.A.,N.A.,22,N.A.,N.A.,31,N.A.,N.A.,N.A.,25,N.A.,N.A.,N.A.,N.A.
20-01-2010,Nitrogen Dioxide,47,60,113,77,56,N.A.,25,88,N.A.,63,71,N.A.,76,11,N.A.,66,124,101
20-01-2010,Nitrogen Oxides,71,107,284,N.A.,91,N.A.,35,173,N.A.,138,128,N.A.,183,13,N.A.,N.A.,350,212
20-01-2010,Ozone,39,28,N.A.,23,40,N.A.,56,13,N.A.,13,29,N.A.,21,57,N.A.,25,N.A.,N.A.
20-01-2010,Respirable Suspended Particulates,48,44,51,46,49,N.A.,37,51,N.A.,54,50,N.A.,49,43,N.A.,49,59,66
20-01-2010,Sulphur Dioxide,8,8,11,8,8,N.A.,4,7,N.A.,7,10,N.A.,6,8,N.A.,10,9,7
21-01-2010,Carbon Monoxide,N.A.,55,73,N.A.,N.A.,N.A.,65,N.A.,N.A.,71,N.A.,N.A.,N.A.,69,N.A.,N.A.,115,73
21-01-2010,Fine Suspended Particulates ,N.A.,17,25,N.A.,N.A.,N.A.,15,N.A.,N.A.,20,N.A.,N.A.,N.A.,13,N.A.,N.A.,N.A.,N.A.
21-01-2010,Nitrogen Dioxide,32,53,99,65,52,N.A.,41,72,N.A.,51,69,N.A.,66,8,N.A.,48,103,87
21-01-2010,Nitrogen Oxides,72,113,303,N.A.,97,N.A.,76,159,N.A.,135,155,N.A.,160,13,N.A.,N.A.,316,209
21-01-2010,Ozone,37,15,N.A.,16,25,N.A.,27,11,N.A.,10,16,N.A.,11,55,N.A.,20,N.A.,N.A.
21-01-2010,Respirable Suspended Particulates,33,32,37,38,40,N.A.,27,40,N.A.,39,40,N.A.,34,32,N.A.,34,48,62
21-01-2010,Sulphur Dioxide,3,6,11,8,6,N.A.,8,6,N.A.,4,9,N.A.,5,5,N.A.,6,9,5
22-01-2010,Carbon Monoxide,N.A.,97,81,N.A.,N.A.,N.A.,101,N.A.,N.A.,116,N.A.,N.A.,N.A.,136,N.A.,N.A.,138,108
22-01-2010,Fine Suspended Particulates ,N.A.,25,26,N.A.,N.A.,N.A.,24,N.A.,N.A.,30,N.A.,N.A.,N.A.,20,N.A.,N.A.,N.A.,N.A.
22-01-2010,Nitrogen Dioxide,37,47,93,48,45,N.A.,40,62,N.A.,43,57,N.A.,51,24,N.A.,40,106,99
22-01-2010,Nitrogen Oxides,53,82,217,N.A.,71,N.A.,57,112,N.A.,74,100,N.A.,101,35,N.A.,N.A.,303,250
22-01-2010,Ozone,33,26,N.A.,30,34,N.A.,31,22,N.A.,24,28,N.A.,28,43,N.A.,29,N.A.,N.A.
22-01-2010,Respirable Suspended Particulates,40,39,42,43,44,N.A.,38,43,N.A.,51,50,N.A.,44,38,N.A.,44,47,61
22-01-2010,Sulphur Dioxide,6,8,11,8,8,N.A.,6,6,N.A.,3,9,N.A.,7,8,N.A.,8,9,6
23-01-2010,Carbon Monoxide,N.A.,147,127,N.A.,N.A.,N.A.,182,N.A.,N.A.,164,N.A.,N.A.,N.A.,156,N.A.,N.A.,178,192
23-01-2010,Fine Suspended Particulates ,N.A.,25,29,N.A.,N.A.,N.A.,29,N.A.,N.A.,30,N.A.,N.A.,N.A.,14,N.A.,N.A.,N.A.,N.A.
23-01-2010,Nitrogen Dioxide,44,46,90,47,52,N.A.,46,54,N.A.,44,50,N.A.,51,31,N.A.,47,83,104
23-01-2010,Nitrogen Oxides,84,106,287,N.A.,126,N.A.,117,123,N.A.,107,109,N.A.,126,45,N.A.,N.A.,289,368
23-01-2010,Ozone,6,9,N.A.,7,6,N.A.,7,8,N.A.,6,11,N.A.,7,10,N.A.,16,N.A.,N.A.
23-01-2010,Respirable Suspended Particulates,34,32,36,34,37,N.A.,47,35,N.A.,56,43,N.A.,35,20,N.A.,39,42,54
23-01-2010,Sulphur Dioxide,8,9,12,9,9,N.A.,11,8,N.A.,7,11,N.A.,8,8,N.A.,8,10,8
24-01-2010,Carbon Monoxide,N.A.,106,66,N.A.,N.A.,N.A.,140,N.A.,N.A.,129,N.A.,N.A.,N.A.,117,N.A.,N.A.,139,155
24-01-2010,Fine Suspended Particulates ,N.A.,40,41,N.A.,N.A.,N.A.,43,N.A.,N.A.,49,N.A.,N.A.,N.A.,31,N.A.,N.A.,N.A.,N.A.
24-01-2010,Nitrogen Dioxide,42,54,86,50,52,N.A.,52,64,N.A.,52,51,N.A.,52,25,N.A.,49,97,119
24-01-2010,Nitrogen Oxides,61,105,205,N.A.,96,N.A.,128,120,N.A.,119,75,N.A.,102,36,N.A.,N.A.,286,353
24-01-2010,Ozone,20,12,N.A.,15,18,N.A.,7,10,N.A.,7,19,N.A.,15,25,N.A.,22,N.A.,N.A.
24-01-2010,Respirable Suspended Particulates,49,50,54,50,50,N.A.,69,48,N.A.,85,53,N.A.,51,43,N.A.,54,56,65
24-01-2010,Sulphur Dioxide,9,11,14,11,11,N.A.,15,10,N.A.,10,14,N.A.,10,13,N.A.,10,11,9
25-01-2010,Carbon Monoxide,N.A.,118,142,N.A.,N.A.,N.A.,168,N.A.,N.A.,135,N.A.,N.A.,N.A.,115,N.A.,N.A.,145,176
25-01-2010,Fine Suspended Particulates ,N.A.,39,45,N.A.,N.A.,N.A.,64,N.A.,N.A.,51,N.A.,N.A.,N.A.,31,N.A.,N.A.,N.A.,N.A.
25-01-2010,Nitrogen Dioxide,59,73,152,83,87,N.A.,80,78,N.A.,65,84,N.A.,83,33,N.A.,61,110,131
25-01-2010,Nitrogen Oxides,104,179,578,N.A.,259,N.A.,180,196,N.A.,141,231,N.A.,248,50,N.A.,N.A.,353,480
25-01-2010,Ozone,21,12,N.A.,13,12,N.A.,10,15,N.A.,11,12,N.A.,13,35,N.A.,25,N.A.,N.A.
25-01-2010,Respirable Suspended Particulates,58,61,84,52,60,N.A.,107,55,N.A.,96,73,N.A.,65,50,N.A.,68,63,86
25-01-2010,Sulphur Dioxide,11,16,30,18,20,N.A.,36,17,N.A.,15,27,N.A.,13,16,N.A.,13,20,21
26-01-2010,Carbon Monoxide,N.A.,103,110,N.A.,N.A.,N.A.,125,N.A.,N.A.,105,N.A.,N.A.,N.A.,101,N.A.,N.A.,139,142
26-01-2010,Fine Suspended Particulates ,N.A.,30,32,N.A.,N.A.,N.A.,28,N.A.,N.A.,34,N.A.,N.A.,N.A.,32,N.A.,N.A.,N.A.,N.A.
